title,author,year,genre,audience,pages,goodreads_rating,tags
Kenen.,"Ichimura, Hitoshi",2015.0,Manga,adult,,3.72,adult manga
The iDOLM@STER Cinderella Girls: U149,Kyowno,2016.0,Manga,adult,,3.72,manga
Anata to Taberu Shiawase wo: Maki to Hanazawa,Nanoka,2015.0,Slice of Life,adult,,3.72,lgbt manga slice-of-life
Joshikouhei,"Matsumoto, Jiro",2011.0,Science Fiction,adult,,3.72,action adult manga sci-fi
Hitoribocchi no Chikyuu Shinryaku,"Ogawa, Maiko",2012.0,Manga,young_adult,,3.72,drama manga romance supernatural young_adult
"Omamori Shimasu, Dokomademo",Junko,2011.0,Manga,adult,,3.72,manga
Joujuu Senjin!! Mushibugyou,"Fukuda, Hiroshi",2011.0,Historical,young_adult,,3.72,action fantasy historical historical-japan manga ninja samurai young_adult
Sword Art Online SS: Calibur SS-han,BUNBUN,2011.0,Fantasy,adult,,3.72,adventure fantasy manga
Itou Junji Kyoufu Manga Collection: Kubi Gensou,"Itou, Junji",1989.0,Horror,adult,,3.72,adult drama horror manga supernatural suspense
Nana to Kaoru: Last Year,"Amazume, Ryuta",2018.0,Manga,adult,,3.71,comedy ecchi friendship love-triangle manga music punk-band romance tokyo
D.N.Angel,"Sugisaki, Yukiru",1997.0,Fantasy,young_adult,,3.71,comedy fantasy manga romance supernatural young_adult
Mahoromatic,"Ditama, Bow",1998.0,Science Fiction,adult,,3.71,action adult comedy ecchi manga romance sci-fi
Wish,CLAMP,1995.0,Fantasy,young_adult,,3.71,fantasy manga romance supernatural young_adult
Densha Otoko: Bijo to Junjou Otaku Seinen no Net-Hatsu Love Story (Train Man: A Shojo Manga),"Nakano, Hitori",2005.0,Manga,young_adult,,3.71,manga young_adult
Tennen  (Pearl Pink),"Tanaka, Meca",2002.0,Romance,young_adult,,3.71,comedy manga romance young_adult
Vampire Knight,"Hino, Matsuri",2004.0,Mystery,young_adult,,3.71,coming-of-age drama manga mystery romance school supernatural vampire young_adult
Makai Senki  (Disgaea 2),Hekaton,2006.0,Fantasy,adult,,3.71,adult adventure comedy fantasy manga romance
Blood+ Adagio (Blood+: Adagio),"Suekane, Kumiko",2005.0,Horror,adult,,3.71,horror manga mystery romance supernatural
Pink Lady,"Woo, Yeong-Wook",2007.0,Romance,adult,,3.71,manga romance slice-of-life
Gensou Suikoden V: Reimei no Shiro,"Tsuge, Mizuki",2008.0,Fantasy,adult,,3.71,action adventure fantasy manga
"Seibetsu ""Mona Lisa"" no Kimi e. (Just Like Mona Lisa)","Yoshimura, Tsumuji",2018.0,Romance,adult,,3.71,coming-of-age drama manga romance school
